name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Pavan Stefano,146,19,147,1192,45-49,47,ITALY,ITA,---,2874,---,1.9 km,00:00:01,02:47:52,90.1 km,00:02:05,01:34:22,21.1 km,04:24:20
Fabio Manzi,147,22,148,1660,40-44,44,Roma,ITA,---,2935,---,1.9 km,00:00:01,02:45:59,90.1 km,00:02:01,01:36:25,21.1 km,04:24:26
Philip Hilker,148,28,149,488,35-39,38,DE,DEU,---,3074,---,1.9 km,00:00:01,02:33:57,90.1 km,00:02:30,01:48:18,21.1 km,04:24:46
Francesco Lavalle,149,25,150,110,25-29,26,Italia,ITA,---,2960,---,1.9 km,00:00:01,02:41:54,90.1 km,00:02:09,01:40:50,21.1 km,04:24:54
Filippo Tirapani,151,10,152,27,18-24,23,Ita,ITA,---,2905,---,1.9 km,00:00:01,02:48:40,90.1 km,00:02:34,01:33:43,21.1 km,04:24:58
Vlad Pe¨ek,152,20,153,1194,45-49,46,APO,CZE,---,2859,---,1.9 km,00:00:01,02:41:20,90.1 km,00:01:45,01:42:05,21.1 km,04:25:11
Alvin Radesich,153,8,154,1362,50-54,51,WA,AUS,---,3313,---,1.9 km,00:00:01,02:44:51,90.1 km,00:02:58,01:37:48,21.1 km,04:25:38
Carlo Salvati Proietti,154,26,155,101,25-29,30,---,ITA,---,2945,---,1.9 km,00:00:01,02:55:09,90.1 km,00:02:29,01:28:06,21.1 km,04:25:45
Petr Zlatuska,155,23,156,1031,40-44,40,Czech Republic,CZE,---,2904,---,1.9 km,00:00:01,02:40:44,90.1 km,00:01:38,01:43:47,21.1 km,04:26:10
Bruno Viola,156,34,157,372,30-34,34,---,ITA,---,2990,---,1.9 km,00:00:01,02:48:29,90.1 km,00:02:29,01:35:11,21.1 km,04:26:10
Emilio Lomi,157,9,158,1663,50-54,52,MI,ITA,---,3302,---,1.9 km,00:00:01,02:45:31,90.1 km,00:02:06,01:38:34,21.1 km,04:26:12
Manfred Allram,158,29,159,390,35-39,35,DE,DEU,---,3048,---,1.9 km,00:00:01,02:45:02,90.1 km,00:01:40,01:39:29,21.1 km,04:26:12
Martin Kruse,159,35,160,266,30-34,---,DE,DEU,---,2987,---,1.9 km,00:00:01,02:43:45,90.1 km,00:02:11,01:40:23,21.1 km,04:26:20
Robert Schmelz,160,24,161,990,40-44,42,AT,AUT,---,2900,---,1.9 km,00:00:01,02:39:56,90.1 km,00:02:35,01:43:49,21.1 km,04:26:21
Luka Sko Aj,161,27,162,68,25-29,30,AE,SVN,---,2933,---,1.9 km,00:00:01,02:46:23,90.1 km,00:01:55,01:38:06,21.1 km,04:26:25
Stephan Kamper,162,28,163,93,25-29,30,AT,AUT,---,2933,---,1.9 km,00:00:01,02:46:30,90.1 km,00:02:27,01:37:28,21.1 km,04:26:26
Willy Bowman,163,29,164,94,25-29,26,---,NZL,---,2932,---,1.9 km,00:00:01,02:47:14,90.1 km,00:02:38,01:36:35,21.1 km,04:26:28
