name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Tze Chung Cheng,---,339,---,1185,40-44,46,---,SGP,---,---,00:50:03,1.9 km,00:03:10,02:29:23,90.1 km,00:01:20,02:09:26,21.1 km,05:33:22
Danson Cheong,---,640,---,232,18-24,27,---,SGP,---,---,00:49:52,1.9 km,00:03:22,02:30:26,90.1 km,00:03:20,02:43:07,21.1 km,06:10:07
Dex Cheong,---,78,---,241,18-24,28,---,SGP,---,---,00:42:20,1.9 km,00:02:58,02:27:09,90.1 km,00:01:22,01:37:32,21.1 km,04:51:21
Lu Cher Hiam,---,1118,---,1403,45-49,52,---,SGP,---,---,01:04:38,1.9 km,00:06:02,03:07:07,90.1 km,00:04:48,03:08:39,21.1 km,07:31:14
Paul Cheung,---,980,---,1050,45-49,49,SG,SGP,---,---,00:57:30,1.9 km,00:04:34,02:54:44,90.1 km,00:05:07,02:49:38,21.1 km,06:51:33
Thomas Chevrier,---,698,---,1214,40-44,44,Intl State,FRA,---,---,00:48:35,1.9 km,00:04:34,02:50:05,90.1 km,00:02:43,02:30:10,21.1 km,06:16:07
John Chew,---,286,---,238,18-24,28,---,SGP,---,---,01:03:06,1.9 km,00:04:18,02:35:16,90.1 km,00:01:39,01:42:09,21.1 km,05:26:28
Kelly Chew,---,1129,---,464,30-34,37,---,SGP,---,---,00:57:38,1.9 km,00:05:43,03:25:26,90.1 km,00:03:57,03:02:52,21.1 km,07:35:36
Ma Chi Ming,---,---,DNF,1015,40-44,46,---,HKG,---,---,01:14:25,1.9 km,00:09:37,00:59:47,90.1 km,---,---,21.1 km,DNF
Herbin Chia,---,1025,---,1216,40-44,---,Singapore,SGP,---,---,00:35:30,1.9 km,00:04:58,03:11:16,90.1 km,00:04:06,03:02:50,21.1 km,06:58:40
Kavin Chia,---,877,---,851,35-39,44,---,SGP,---,---,00:58:00,1.9 km,00:04:53,02:58:34,90.1 km,00:03:51,02:30:58,21.1 km,06:36:16
Michael Chia,---,969,---,1136,40-44,47,---,SGP,---,---,01:10:12,1.9 km,00:04:31,02:57:29,90.1 km,00:02:03,02:35:19,21.1 km,06:49:34
Steve Chia,---,---,DNS,1046,40-44,45,---,SGP,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
Patrick Chiang,---,947,---,1043,40-44,49,---,SGP,---,---,01:01:13,1.9 km,00:06:53,02:46:39,90.1 km,00:03:27,02:48:10,21.1 km,06:46:22
Adrian Chin,---,674,---,524,30-34,36,---,MYS,---,---,00:51:46,1.9 km,00:04:55,02:56:01,90.1 km,00:03:07,02:17:47,21.1 km,06:13:36
Shi Yin Chin,---,---,DNS,96,30-34,38,---,MYS,---,---,---,1.9 km,---,---,90.1 km,---,---,21.1 km,DNS
