name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Vinicius Canhedo,71,12,80,526,25-29,32,FL,BRA,---,2876,00:24:17,1.9 km,00:03:47,02:43:10,90.1 km,00:02:11,01:52:14,21.1 km,05:05:39
Denis Martins,72,13,81,481,30-34,36,DF,BRA,---,2832,00:26:13,1.9 km,00:03:11,02:43:51,90.1 km,00:02:06,01:50:19,21.1 km,05:05:40
Cristina Mata,10,1,82,693,25-29,30,PANAMA,PAN,---,3500,00:27:15,1.9 km,00:03:09,02:50:26,90.1 km,00:02:10,01:42:47,21.1 km,05:05:47
Marcio Danieli,73,16,83,364,35-39,---,Rio Grande do Sul,BRA,---,2717,00:24:29,1.9 km,00:04:03,02:46:23,90.1 km,00:02:56,01:48:12,21.1 km,05:06:03
Andres Felipe Rodriguez Rueda,74,13,84,675,25-29,29,SANTANDER,COL,---,2859,00:23:29,1.9 km,00:03:08,02:46:18,90.1 km,00:02:25,01:51:13,21.1 km,05:06:33
Manuel Hernandez,75,17,85,377,35-39,38,San Jose,CRI,---,2704,00:27:27,1.9 km,00:04:22,02:52:26,90.1 km,00:02:56,01:39:33,21.1 km,05:06:44
Wilson Vargas Valencia,76,10,86,327,40-44,---,---,COL,---,2815,00:28:01,1.9 km,00:04:16,02:48:00,90.1 km,00:02:05,01:44:29,21.1 km,05:06:51
Mathieu Destrooper,77,14,87,649,30-34,37,Intl State,BEL,---,2809,00:29:34,1.9 km,00:06:21,02:48:39,90.1 km,00:03:33,01:38:50,21.1 km,05:06:57
Lucas Gaitan,78,1,88,183,50-54,52,Distrito Nacional,DOM,---,3500,00:27:41,1.9 km,00:04:28,02:57:20,90.1 km,00:02:02,01:36:00,21.1 km,05:07:31
Ramon Hernandez,79,14,89,540,25-29,28,panama,VEN,---,2837,00:23:20,1.9 km,00:03:02,02:49:19,90.1 km,00:02:15,01:49:52,21.1 km,05:07:48
Delfin Malaver,80,11,90,299,40-44,---,---,VEN,---,2790,00:35:14,1.9 km,00:04:21,02:46:28,90.1 km,00:02:15,01:39:55,21.1 km,05:08:13
Carlos Pena,81,2,91,220,50-54,52,AL,MEX,---,3483,00:29:05,1.9 km,00:04:06,02:51:35,90.1 km,00:02:37,01:41:03,21.1 km,05:08:26
Sergio Gomez,82,15,92,466,30-34,33,Cundinamarca,COL,---,2759,00:22:19,1.9 km,00:03:49,02:51:27,90.1 km,00:02:13,01:49:54,21.1 km,05:09:42
Rogelio Alba,83,12,93,604,40-44,47,Panama,PAN,---,2753,00:27:04,1.9 km,00:04:30,02:51:45,90.1 km,00:02:04,01:44:53,21.1 km,05:10:16
Carlos Vargas,84,18,94,435,35-39,40,Jalisco,MEX,---,2633,00:26:22,1.9 km,00:04:23,02:51:33,90.1 km,00:02:40,01:45:43,21.1 km,05:10:41
Oliver Mondragon,85,13,95,618,40-44,43,Intl State,MEX,---,2744,00:25:53,1.9 km,00:04:27,02:53:10,90.1 km,00:02:45,01:44:32,21.1 km,05:10:47
Miguel Pippo,86,14,96,310,40-44,39,Buenos Aires,ARG,---,2741,00:33:21,1.9 km,00:03:52,02:49:09,90.1 km,00:02:17,01:42:19,21.1 km,05:10:58
Mirtha Lucía Realpe Palacios,11,1,97,149,30-34,35,Bogota,COL,---,3500,00:25:26,1.9 km,00:02:57,03:04:18,90.1 km,00:02:23,01:36:10,21.1 km,05:11:14
Stanlei Marcelo Martins Amaral,87,15,98,250,40-44,44,---,BRA,---,2733,00:30:48,1.9 km,00:03:59,02:49:44,90.1 km,00:02:40,01:44:14,21.1 km,05:11:25
Jerome Pulidori,88,15,100,554,25-29,---,---,FRA,---,2766,00:27:29,1.9 km,00:03:52,02:33:31,90.1 km,00:02:35,02:04:16,21.1 km,05:11:43
Lourenco Bizarria,89,19,101,342,35-39,40,Intl State,BRA,---,2596,00:24:21,1.9 km,00:03:41,02:48:34,90.1 km,00:02:49,01:53:21,21.1 km,05:12:46
Carlos Chianello,90,16,102,264,40-44,44,São Paulo,BRA,---,2704,00:27:15,1.9 km,00:04:39,02:49:54,90.1 km,00:02:45,01:48:28,21.1 km,05:13:01
Neal Fisher,91,17,103,280,40-44,42,ON,CAN,---,2698,00:28:23,1.9 km,00:04:46,02:46:16,90.1 km,00:02:31,01:51:25,21.1 km,05:13:21
Adolfo Arias,92,18,104,252,40-44,45,---,PAN,---,2692,00:24:00,1.9 km,00:03:31,02:55:35,90.1 km,00:02:13,01:48:23,21.1 km,05:13:42
Ronny Leiton,93,16,105,654,30-34,37,---,CRI,---,2677,00:25:56,1.9 km,00:03:39,02:48:48,90.1 km,00:03:14,01:52:39,21.1 km,05:14:16
Jeff Kellogg,94,3,106,590,50-54,53,NY,BWA,---,3371,00:32:56,1.9 km,00:05:46,02:37:37,90.1 km,00:02:44,01:55:36,21.1 km,05:14:39
Patrick Leonard,95,3,107,196,45-49,48,AA,USA,---,3158,00:29:29,1.9 km,00:04:46,02:47:46,90.1 km,00:02:52,01:50:28,21.1 km,05:15:21
Andres Duplat,96,19,108,273,40-44,47,TX,VEN,---,2639,00:25:58,1.9 km,00:04:17,02:58:56,90.1 km,00:02:19,01:45:09,21.1 km,05:16:39
Margie Real,13,2,109,582,25-29,30,PANAMA,PAN,---,3303,00:27:04,1.9 km,00:03:18,02:56:48,90.1 km,00:02:33,01:46:59,21.1 km,05:16:42
Christopher Zylak,97,20,110,331,40-44,47,WA,USA,---,2633,00:26:22,1.9 km,00:04:56,02:51:55,90.1 km,00:02:49,01:50:56,21.1 km,05:16:58
Hernando Castro,98,4,111,170,45-49,47,Intl State,VEN,---,3128,00:29:27,1.9 km,00:04:26,02:56:39,90.1 km,00:03:01,01:43:26,21.1 km,05:16:59
Inaki Mazarredo,99,4,112,204,50-54,54,FL,ESP,---,3328,00:28:26,1.9 km,00:04:24,02:58:42,90.1 km,00:02:13,01:43:18,21.1 km,05:17:03
Marco Rodriguez,100,17,113,660,30-34,34,Alajuela,CRI,---,2615,00:26:51,1.9 km,00:04:10,03:03:50,90.1 km,00:02:41,01:40:11,21.1 km,05:17:43
Martin Gautschi,101,5,114,587,50-54,54,---,CHE,---,3312,00:35:14,1.9 km,00:04:56,02:42:41,90.1 km,00:04:17,01:50:47,21.1 km,05:17:55
Luis Miguel Hincapie,102,20,115,381,35-39,40,Panama,PAN,---,2500,00:29:14,1.9 km,00:04:17,02:53:50,90.1 km,00:02:33,01:48:12,21.1 km,05:18:06
C Sar Kiamco,103,5,116,192,45-49,49,FL,PAN,---,3095,00:28:03,1.9 km,00:04:31,02:59:22,90.1 km,00:02:56,01:43:56,21.1 km,05:18:48
Marcelo Bodanese,104,16,117,522,25-29,30,RS,BRA,---,2628,00:25:12,1.9 km,00:04:22,02:50:38,90.1 km,00:02:47,01:56:26,21.1 km,05:19:25
Ricardo Lino,105,18,118,471,30-34,37,Sao PAulo,BRA,---,2580,00:26:02,1.9 km,00:03:10,02:53:32,90.1 km,00:03:31,01:53:25,21.1 km,05:19:40
Adriana Prieto De Alfonzo-Larrain,14,1,119,575,35-39,38,Panama,VEN,---,3500,00:31:52,1.9 km,00:06:34,02:54:50,90.1 km,00:03:43,01:42:46,21.1 km,05:19:45
Alejandro Lopez Rios,106,21,120,392,35-39,38,Costa Rica,CRI,---,2467,00:44:53,1.9 km,00:04:21,02:49:04,90.1 km,00:02:18,01:39:19,21.1 km,05:19:55
Jason Elliott,107,21,121,274,40-44,---,CO,USA,---,2579,00:30:05,1.9 km,00:05:54,03:00:05,90.1 km,00:02:30,01:41:22,21.1 km,05:19:56
Araya Arrieta,108,22,122,336,35-39,---,---,CRI,---,2466,00:29:51,1.9 km,00:04:27,03:04:31,90.1 km,00:02:46,01:38:22,21.1 km,05:19:57
Noga Ruttenberg,15,2,123,94,40-44,43,NY,USA,---,3064,00:25:44,1.9 km,00:04:18,03:01:21,90.1 km,00:02:30,01:46:12,21.1 km,05:20:05
Pedro Henrique Neves Oliveira,109,17,124,552,25-29,32,FL,BRA,---,2609,00:27:52,1.9 km,00:03:33,02:51:12,90.1 km,00:02:38,01:55:11,21.1 km,05:20:26
Luis Benitez,110,18,125,665,25-29,30,Intl State,PAN,---,2609,00:28:06,1.9 km,00:03:30,02:50:22,90.1 km,00:02:15,01:56:16,21.1 km,05:20:29
Anibal Zapata,111,19,126,568,25-29,29,---,COD,---,2599,00:28:50,1.9 km,00:03:30,02:55:22,90.1 km,00:02:13,01:51:05,21.1 km,05:21:00
Leslie Lamacchia,16,9,128,35,PRO,37,TX,USA,---,2423,00:26:24,1.9 km,00:03:14,02:56:41,90.1 km,00:02:55,01:51:57,21.1 km,05:21:11
Carolina Dementiev,17,1,129,683,18-24,27,PANAMA,PAN,---,3500,00:23:06,1.9 km,00:03:22,03:02:33,90.1 km,00:01:55,01:50:15,21.1 km,05:21:11
Edgar Furlong,113,22,130,613,40-44,44,---,MEX,---,2552,00:30:01,1.9 km,00:06:09,02:58:16,90.1 km,00:02:18,01:44:43,21.1 km,05:21:27
Claudio Fabbri,114,23,131,279,40-44,44,FR,MCO,---,2546,00:24:18,1.9 km,00:05:26,02:54:52,90.1 km,00:03:35,01:53:36,21.1 km,05:21:47
Arturo Saavedra,116,24,133,317,40-44,43,MA,USA,---,2521,00:28:16,1.9 km,00:03:26,03:01:49,90.1 km,00:02:40,01:47:00,21.1 km,05:23:11
